Densite TxButy TxProt TxCase ExSec Rendement
1.0318 37.7 35.7 28.5 127.1 15.35
1.0316 37.5 35.3 28.0 128.7 14.72
1.0314 37.0 32.8 25.3 124.1 14.61
1.0311 39.5 33.7 26.8 127.5 14.56
1.0309 36.0 32.8 25.9 121.6 13.74
1.0322 36.0 33.8 26.9 124.5 14.31
1.0311 36.0 33.8 26.9 125.3 14.13
1.0314 36.7 34.1 27.0 124.9 14.16
1.0292 37.2 31.5 24.8 122.5 14.13
1.0297 35.0 31.6 24.9 121.0 14.58
1.0282 34.7 29.9 23.5 114.7 13.83
1.0262 31.5 30.1 23.6 111.1 13.18
1.0270 30.5 30.1 23.8 115.0 13.45
1.0269 31.6 29.8 23.3 112.7 12.82
1.0264 34.9 29.7 23.2 113.5 13.36
1.0275 35.7 32.5 25.7 120.1 14.61
1.0275 37.9 31.8 25.0 122.6 14.74
1.0293 34.6 32.9 26.1 120.8 13.74
1.0282 36.6 32.2 25.3 121.1 14.63
1.0300 37.2 32.1 25.6 123.4 14.74
1.0300 34.0 33.1 26.4 119.7 13.80
1.0300 35.3 33.3 26.0 121.5 14.07
1.0295 35.8 33.9 26.6 121.7 14.57
1.0295 35.9 33.8 26.5 121.4 14.88
1.0288 34.8 32.9 26.2 118.4 13.99
1.0290 35.9 33.4 26.3 121.1 14.12
1.0290 35.5 32.7 25.4 119.9 13.81
1.0301 35.8 35.7 28.0 122.8 14.69
1.0302 37.0 34.9 27.7 125.5 15.31
1.0300 35.8 33.9 26.8 122.6 14.37
1.0305 34.2 34.5 27.2 123.9 14.63
1.0302 34.8 33.7 26.1 124.2 14.59
1.0300 36.5 33.9 26.6 124.1 14.89
1.0300 36.6 33.2 25.9 123.4 14.60
1.0300 34.8 34.2 26.8 121.4 14.66
1.0300 37.3 34.9 27.4 125.1 14.75
1.0300 34.6 34.6 27.0 122.6 14.33
1.0310 35.7 34.8 27.4 123.4 14.58
1.0300 35.7 33.4 26.1 120.8 14.67
1.0302 37.9 33.6 26.1 126.1 15.20
1.0300 36.8 35.4 26.0 125.1 14.94
1.0300 39.3 34.8 27.4 127.8 15.43
1.0310 35.6 34.0 26.8 125.5 14.40
1.0300 37.8 34.1 27.2 126.9 15.97
1.0310 35.6 33.3 26.4 122.6 14.77
1.0310 35.7 34.1 26.8 121.7 14.59
1.0305 33.3 33.2 26.6 126.7 14.17
1.0300 34.4 33.3 26.5 123.0 14.79
1.0300 33.3 32.2 25.6 121.5 14.70
1.0305 38.4 32.5 25.8 126.2 15.20
1.0305 34.0 31.9 25.5 122.6 14.11
1.0300 33.1 31.1 24.8 119.0 14.06
1.0305 34.8 32.3 25.7 122.6 14.09
1.0305 35.5 32.7 26.0 122.7 14.41
1.0310 35.6 33.3 26.5 123.3 14.16
1.0300 36.1 32.5 25.7 123.1 14.34
1.0295 36.2 32.6 25.5 121.4 14.04
1.0300 36.0 33.5 26.7 121.9 14.02
1.0290 35.2 31.8 25.1 122.2 14.00
1.0300 35.4 32.1 25.5 122.1 13.78
1.0300 36.6 32.1 25.3 123.4 14.14
1.0300 37.5 32.6 25.6 125.4 14.86
1.0300 36.9 33.8 27.0 124.9 14.29
1.0300 37.3 31.5 24.9 123.4 14.46
1.0300 35.2 31.7 25.0 121.5 13.82
1.0300 36.4 32.3 25.8 123.5 14.54
1.0300 34.5 31.4 24.8 123.9 14.24
1.0300 35.8 32.1 25.9 122.6 14.14
1.0295 36.0 31.2 24.6 122.9 14.05
1.0300 35.8 31.3 24.9 121.7 14.04
1.0305 36.5 33.1 26.6 125.1 14.20
1.0305 35.5 31.2 24.7 122.8 14.15
1.0300 34.5 30.2 23.8 122.3 14.00
1.0305 35.9 32.0 25.3 124.2 14.35
1.0310 34.3 32.2 25.4 122.4 13.98
1.0295 34.6 30.8 23.9 115.7 13.93
1.0310 36.3 32.6 25.8 124.7 14.26
1.0305 35.2 32.6 25.5 123.3 14.07
1.0300 34.9 32.7 25.8 119.0 14.42
1.0300 35.9 33.7 26.6 123.4 14.20
1.0310 37.6 33.2 26.3 125.6 14.94
1.0300 36.1 33.6 26.2 125.3 14.43
1.0300 34.1 33.2 26.0 124.2 14.37
1.0305 39.0 32.3 25.4 123.5 14.40
1.0300 34.4 33.1 26.5 123.5 14.18
