Species;Weight;Length;Height;Width
1;242;30;38,4;13,4
1;290;31,2;40;13,8
1;340;31,1;39,8;15,1
1;363;33,5;38;13,3
1;430;34;36,6;15,1
1;450;34,7;39,2;14,2
1;500;34,5;41,1;15,3
1;390;35;36,2;13,4
1;450;35,1;39,9;13,8
1;500;36,2;39,3;13,7
1;475;36,2;39,4;14,1
1;500;36,2;39,7;13,3
1;500;36,4;37,8;12
1;600;37,2;40,2;13,9
1;600;37,2;41,5;15
1;700;38,3;38,8;13,8
1;700;38,5;38,8;13,5
1;610;38,6;40,5;13,3
1;650;38,7;37,4;14,8
1;575;39,5;38,3;14,1
1;685;39,2;40,8;13,7
1;620;39,7;39,1;13,3
1;680;40,6;38,1;15,1
1;700;40,5;40,1;13,8
1;725;40,9;40;14,8
1;720;40,6;40,3;15
1;714;41,5;39,8;14,1
1;850;41,6;40,6;14,9
1;1000;42,6;44,5;15,5
1;920;44,1;40,9;14,3
1;955;44;41,1;14,3
1;925;45,3;41,4;14,9
1;975;45,9;40,6;14,7
1;950;46,5;37,9;13,7
2;270;28,7;29,2;14,8
2;270;29,3;27,8;14,5
2;306;30,8;28,5;15,2
2;540;34;31,6;19,3
2;800;39,6;29,7;16,6
2;1000;43,5;28,4;15
3;40;16,2;25,6;14
3;69;20,3;26,1;13,9
3;78;21,2;26,3;13,7
3;87;22,2;25,3;14,3
3;120;22,2;28;16,1
3;110;23,1;26,7;14,7
3;120;23,7;25,8;13,9
3;150;24,7;23,5;15,2
3;145;24,3;27,3;14,6
3;160;25,3;27,8;15,1
3;140;25;26,2;13,3
3;160;25;25,6;15,2
3;169;27,2;27,7;14,1
3;161;26,7;25,9;13,6
3;200;26,8;27,6;15,4
3;180;27,9;25,4;14
3;290;29,2;30,4;15,4
3;272;30,6;28;15,6
3;390;35;27,1;15,3
4;55;16,5;41,5;14,1
4;60;17,4;37,8;13,3
4;90;19,8;37,4;13,5
4;120;21,3;39,4;13,7
4;150;22,4;39,7;14,7
4;140;23,2;36,8;14,2
4;170;23,2;40,5;14,7
4;145;24,1;40,4;13,1
4;200;25,8;40,1;14,2
4;273;28;39,6;14,8
4;300;29;39,2;14,6
5;6,7;10,8;16,1;9,7
5;7,5;11,6;17;10
5;7;11,6;14,9;9,9
5;9,7;12;18,3;11,5
5;9,8;12,4;16,8;10,3
5;8,7;12,6;15,7;10,2
5;10;13,1;16,9;9,8
5;9,9;13,1;16,9;8,9
5;9,8;13,2;16,7;8,7
5;12,2;13,4;15,6;10,4
5;13,4;13,5;18;9,4
5;12,2;13,8;16,5;9,1
5;19,7;15,2;18,9;13,6
5;19,9;16,2;18,1;11,6
6;200;34,8;16;9,7
6;300;37,8;15,1;11
6;300;38,8;15,3;11,3
6;300;39,8;15,8;10,1
6;430;40,5;18;11,3
6;345;41;15,6;9,7
6;456;45,5;16;9,5
6;510;45,5;15;9,8
6;540;45,8;17;11,2
6;500;48;14,5;10,2
6;567;48,7;16;10
6;770;51,2;15;10,5
6;950;55,1;16,2;11,2
6;1250;59,7;17,9;11,7
6;1600;64;15;9,6
6;1550;64;15;9,6
6;1650;68;15,9;11
7;5,9;8,8;24;16
7;32;14,7;24;13,6
7;40;16;23,9;15,2
7;51,5;17,2;26,7;15,3
7;70;18,5;24,8;15,9
7;100;19,2;27,2;17,3
7;78;19,4;26,8;16,1
7;80;20,2;27,9;15,1
7;85;20,8;24,7;14,6
7;85;21;24,2;13,2
7;110;22,5;25,3;15,8
7;115;22,5;26,3;14,7
7;125;22,5;25,3;16,3
7;130;22,8;28;15,5
7;120;23,5;26;14,5
7;120;23,5;24;15
7;130;23,5;26;15
7;135;23,5;25;15
7;110;23,5;23,5;17
7;130;24;24,4;15,1
7;150;24;28,3;15,1
7;145;24,2;24,6;15
7;150;24,5;21,3;14,8
7;170;25;25,1;14,9
7;225;25,5;28,6;14,6
7;145;25,5;25;15
7;188;26,2;25,7;15,9
7;180;26,5;24,3;13,9
7;197;27;24,3;15,7
7;218;28;25,6;14,8
7;300;28,7;29;17,9
7;260;28,9;24,8;15
7;265;28,9;24,4;15
7;250;28,9;25,2;15,8
7;250;29,4;26,6;14,3
7;300;30,1;25,2;15,4
7;320;31,6;24,1;15,1
7;514;34;29,5;17,7
7;556;36,5;28,1;17,5
7;840;37,3;30,8;20,9
7;685;39;27,9;17,6
7;700;38,3;27,7;17,6
7;700;39,4;27,5;15,9
7;690;39,3;26,9;16,2
7;900;41,4;26,9;18,1
7;650;41,4;26,9;14,5
7;820;41,3;30,1;17,8
7;850;42,3;28,2;16,8
7;900;42,5;27,6;17
7;1015;42,4;29,2;17,6
7;820;42,5;26,2;15,6
7;1100;44,6;28,7;15,4
7;1000;45,2;26,4;16,1
7;1100;45,5;27,5;16,3
7;1000;46;27,4;17,7
7;1000;46,6;26,8;16,3
