Trait 	 TN 	 PN 	 P 	 K 	 Ca 	 Mg 	 Poids 	 Amert 
A 	3580	1790	932	8220	244	410	85.3	0
A 	2880	1670	836	9840	142	367	113.8	3.2
A 	3260	1530	740	8180	269	387	92.9	0
A 	2870	1700	926	7550	272	332	48.9	0
A 	3430	1800	899	9520	202	370	99.4	3.6
A 	2930	1490	847	8310	272	413	79.1	0
A 	3110	1700	770	8180	297	389	70	2.7
A 	3300	1840	891	8970	225	362	86.9	1.8
A 	3370	1780	899	9420	212	403	87.7	6.5
A 	3290	1730	879	7240	206	330	67.3	4.3
B 	3040	1810	798	10760	138	414	117.5	47
B 	4470	2020	886	9990	151	401	98.9	39.6
B 	5810	2400	1037	11340	165	479	108.5	44.2
B 	4610	2070	840	9070	151	351	104.4	19
B 	4690	2070	914	9730	199	429	96.8	10
B 	3010	1780	813	9830	159	403	94.5	18.5
B 	6740	2310	1111	11150	158	458	90.6	7.3
B 	4510	2320	912	10360	163	401	100.8	23.6
B 	4890	2040	925	9550	239	39	96	6.5
B 	4340	1990	915	10440	180	428	99.9	20.4
B 	4130	1870	710	9040	199	363	84.6	0
C 	4250	2040	932	11830	169	408	127.1	9.5
C 	3710	1810	792	10530	210	392	108.5	3.9
C 	4640	2340	883	11210	172	393	99.9	1.6
C 	6950	2300	1202	12910	148	510	124.8	27.2
C 	4880	1800	829	11210	219	411	94.5	2
C 	4680	1940	850	11010	224	411	99.4	2.7
C 	5170	2130	862	11750	152	419	117.5	13.9
C 	5730	2560	1161	12440	160	454	135	50
C 	5360	2000	898	10960	211	428	85.6	3.6
C 	6310	2420	984	12210	178	428	102.5	14.3
C 	4370	2080	874	12560	183	404	110.8	10
D 	4700	1990	938	8830	148	349	77.4	50
D 	5930	2720	1211	11430	128	449	91.3	54
D 	4840	2360	1038	10370	132	406	91.3	89.5
D 	7230	3280	1233	10840	120	437	81.7	70.5
D 	7650	2670	1289	10800	124	455	89.2	37.5
D 	5760	2610	1137	9200	147	378	69.6	64
D 	7140	2240	1074	9300	255	420	69.6	64
D 	7950	2730	1200	10630	172	425	73.7	39.5
D 	5040	2270	869	9120	140	334	75.1	36.1
D 	3850	1880	823	8520	181	334	87	58.6
