"Diam" "Hauteur" "Volume"
0.21082 21.336 0.26076304
0.21844 19.812 0.26076304
0.22352 19.2024 0.25823136
0.2667 21.9456 0.41519552
0.27178 24.6888 0.47595584
0.27432 25.2984 0.49874096
0.2794 20.1168 0.39494208
0.2794 22.86 0.46076576
0.28194 24.384 0.57215968
0.28448 22.86 0.50380432
0.28702 24.0792 0.61266656
0.28956 23.1648 0.5316528
0.28956 23.1648 0.54177952
0.29718 21.0312 0.53924784
0.3048 22.86 0.48355088
0.32766 22.5552 0.56203296
0.32766 25.908 0.85570784
0.33782 26.2128 0.69368032
0.34798 21.6408 0.65064176
0.35052 19.5072 0.63038832
0.3556 23.7744 0.8734296
0.36068 24.384 0.80254256
0.3683 22.5552 0.91899984
0.4064 21.9456 0.96963344
0.41402 23.4696 1.07849568
0.43942 24.6888 1.40255072
0.4445 24.9936 1.41014576
0.45466 24.384 1.47596944
0.4572 24.384 1.3038152
0.4572 24.384 1.2911568
0.52324 26.5176 1.9493936
